Word,Count
});,5
initialization,5
their,5
<em>Date</em>}',5
#getAddInfo4(),5
construct,5
singleton,5
utility,5
options,5
#getLevel(),5
general.DataSource#getDataSourceId,5
component,5
#isDummy(),5
'<em><b>Snapshot,5
Factory</em>}',5
read-only,5
general.FileFunctionStatus#getSetOn,5
made,5
'<em><b>Full,5
true;,5
'<em><b>Function,5
text,5
'<em><b>Modfied,5
#isUserRelevant(),5
#getModfiedDate(),5
#getSynergySession(),5
what,5
general.Function#getFunctionId,5
select,5
general.User#getUserId,5
'<em><b>User</b></em>',5
#getTask(),5
through,5
===========================================================================,5
general.Container#getContainerId,5
general.ContentObject,4
'<em>EObject</em>',4
daddy,4
\package,\,4
Management</em>',4
!!,4
'<em>Persistent,4
Relevant</em>',4
items,4
general.impl.FileTypeImpl,4
Source</em>}',4
(e.g,4
Class</em>',4
<em>Dummy</em>}',4
<em>Suffix</em>}</li>,4
\<code>"\"\</code>\,4
File</em>',4
<em>Rating</em>}',4
\CascadeType.DELETE})'"\\,4
every,4
dao.FunctionDao,4
<em>Folder,4
general.impl.SessionSatusImpl,4
dao.ContentObjectDao,4
'<em>Finished</em>',4
general.File,4
Info4</em>',4
general.SessionSatus,4
<em>Connection</em>}',4
needed,4
URI,4
Of</em>}</li>,4
Add,4
placing,4
general.Connection,4
general.impl.SnapshotImpl,4
element),4
dao.UserDao,4
originally,4
||,4
constructor,4
decorate,4
\Google,\,4
dao.impl.SnapshotDaoImpl,4
'<em>Users</em>',4
'<em>Overall,4
using,4
called,4
<em>Hibernate,4
'<em>Icon</em>',4
model's,4
org.eclipse.emf.ecore.EPackage.Registry,4
resulting,4
org.hibernate.Query,4
<em>General,4
general.QualityCriteria},4
Queries</em>}',4
applicable,4
org.hibernate.SessionFactory,4
dao.FileFunctionStatusDao,4
database,4
Directory</em>',4
underline,4
general.impl.FileFunctionStatusImpl,4
Name</em>}</li>,4
hierarchy,4
'<em>Rating</em>',4
general.impl.FolderImpl,4
'<em>Configuration,4
fonts,4
Folder1,4
dao.impl.FunctionDaoImpl,4
within,4
******************************************************************************,4
until,4
<em>Generic,4
dao.impl.GenericDaoImpl,4
@deprecated,4
general.DataSource#getSetting,4
Milestone</em>}',4
Inc,4
invocation,4
dao.impl.FolderDaoImpl,4
guarded,4
dao.impl.FileFunctionStatusDaoImpl,4
<em>Description</em>}</li>,4
Satus</em>}',4
dao.FileDao,4
differenciator,4
dao.EventDao,4
<em>Icon</em>}',4
descriptor,4
doOnce,4
Configuration,4
end;,4
<em>Source</em>}</li>,4
general.impl.FunctionImpl,4
composed,4
dao.FolderDao,4
general.impl.CheckInMilestoneImpl,4
<em>Password</em>}</li>,4
user,4
Handle,4
'<em>Up,4
dao.HibernateUtil,4
'<em>Full,4
ConnectionType,4
shared,4
\value='@Cascade({CascadeType.SAVE_UPDATE,\,4
<em>Version</em>}',4
List</em>}',4
affect,4
finish,4
int,4
<em>Email</em>}',4
looked,4
'<em>Email</em>',4
dao.impl.ConnectionDaoImpl,4
<em>Username</em>}</li>,4
nicer,4
//,4
namespace,4
general.Event,4
Session</em>',4
added,4
\exist,\,4
general.impl.UserListImpl,4
general.impl.ContainerImpl,4
general.UserList,4
also,4
baseImage,4
<b>Factory</b>,4
design,4
'<em>Owner,4
dao.impl.ContainerDaoImpl,4
<em>Reviewed</em>}',4
java.util.List,4
'<em>Creation,4
dao.impl.UserDaoImpl,4
longer,4
state,4
<em>Release</em>}</li>,4
<em>Database</em>}',4
dao.GenericDao,4
<code>target</code>,4
'<em>Times,4
know,4
dao.impl.HibernateUtilImpl,4
Function</em>',4
documentType,4
QualityCriteria,4
event,4
exists,4
They,4
<em>Message</em>}',4
<em>Level</em>}',4
read,4
\enum,</li>\,4
<li>and,4
'<em>Level</em>',4
---,4
'<em>Db,4
Management</em>}',4
Style,4
'<em>Project</em>',4
<em>Task</em>}',4
<em>Event</em>}',4
<code>createXXX</code>,4
'<em>Status</em>',4
System.currentTimeMillis()/1000;,4
\seconds"\);\,4
'<em><b>Content,4
stuff,4
dao.impl.FileDaoImpl,4
@Override,4
general.Function,4
general.impl.ContentObjectImpl,4
Session</em>}',4
'<em>Database</em>',4
general.impl.UserImpl,4
'<em>Dummy</em>',4
<em>Comment</em>}</li>,4
call,4
#getCheckInMilestone(),4
f,4
dao.GeneralQueries,4
\System.out.println("\---\,4
drop,4
general.FileFunctionStatus,4
Object</em>}',4
<em>Project</em>}',4
